子掉落ID	随机策略	随机次数	道具掉落ID	道具掉落权重	道具掉落数量区间
1000100			2008	1000	1
1000110			2008	1000	1
1000110			2001	1500	1
1000120			2008	1000	1
1000120			2002	1500	1
1000130			2008	1000	1
1000130			2003	1500	1
1000140			2008	1000	1
1000140			2004	1500	1
1000150			2008	1000	1
1000150			2005	1500	1
1000160			2008	1000	1
1000160			2006	1500	1
1000170			2008	1000	1
1000170			2007	1500	1
1000200			2008	1000	1
1000210	2		2001	10000	1
1000210	2		2001	3333	1
1000220	2		2002	10000	1
1000220	2		2002	3333	1
1000230	2		2003	10000	1
1000230	2		2003	3333	1
1000240	2		2004	10000	1
1000240	2		2004	3333	1
1000250	2		2005	10000	1
1000250	2		2005	3333	1
1000260	2		2006	10000	1
1000260	2		2006	3333	1
1000270	2		2007	10000	1
1000270	2		2007	3333	1
1000300	2		2008	10000	1
1000300	2		2008	10000	1
1000300	2		2008	5000	1
1010100			2024	10000	1
1010110	2		2017	10000	1
1010110	2		2017	3333	1
1010120	2		2018	10000	1
1010120	2		2018	3333	1
1010130	2		2019	10000	1
1010130	2		2019	3333	1
1010140	2		2020	10000	1
1010140	2		2020	3333	1
1010150	2		2021	10000	1
1010150	2		2021	3333	1
1010160	2		2022	10000	1
1010160	2		2022	3333	1
1010170	2		2023	10000	1
1010170	2		2023	3333	1
1010200	2		2024	10000	1
1010200	2		2024	10000	1
1010210	2		2017	10000	1
1010210	2		2017	10000	1
1010210	2		2017	6667	1
1010220	2		2018	10000	1
1010220	2		2018	10000	1
1010220	2		2018	6667	1
1010230	2		2019	10000	1
1010230	2		2019	10000	1
1010230	2		2019	6667	1
1010240	2		2020	10000	1
1010240	2		2020	10000	1
1010240	2		2020	6667	1
1010250	2		2021	10000	1
1010250	2		2021	10000	1
1010250	2		2021	6667	1
1010260	2		2022	10000	1
1010260	2		2022	10000	1
1010260	2		2022	6667	1
1010270	2		2023	10000	1
1010270	2		2023	10000	1
1010270	2		2023	6667	1
1010300	2		2008	10000	1
1010300	2		2008	10000	1
1010300	2		2008	5000	1
1010310	2		2001	10000	1
1010310	2		2001	3333	1
1010320	2		2002	10000	1
1010320	2		2002	3333	1
1010330	2		2003	10000	1
1010330	2		2003	3333	1
1010340	2		2004	10000	1
1010340	2		2004	3333	1
1010350	2		2005	10000	1
1010350	2		2005	3333	1
1010360	2		2006	10000	1
1010360	2		2006	3333	1
1010370	2		2007	10000	1
1010370	2		2007	3333	1
1050200			2024	1000	4
1050200			2008	1500	1
1050210			2017	1000	4
1050210			2001	1500	1
1050220			2018	1000	4
1050220			2002	1500	1
1050230			2019	1000	4
1050230			2003	1500	1
1050240			2020	1000	4
1050240			2004	1500	1
1050250			2021	1000	4
1050250			2005	1500	1
1050260			2022	1000	4
1050260			2006	1500	1
1050270			2023	1000	4
1050270			2007	1500	1
1100100			100061	1000	1
1100110			100086	1000	1
1100200			100064	1000	1
1100210			100087	1000	1
1900010	2		100011	10000	2
1900010	2		100064	10000	1
1900020			100172	10000	1
200601			107001	1000	1
200701			2026	1000	1
200702			2026	1000	2
200703			2026	1000	3
200704			2027	1000	1
200705			2027	1000	6
200803	2		51110	10000	1
200803	2		51120	10000	1
200803	2		51130	10000	1
200803	2		51140	10000	1
