掉落ID	注释	随机策略	随机次数	子掉落ID	子掉落ID权重
100010	根-普通小怪击杀-3点全元素-50%概率6点	2		1000100	5000
100011	根-火小怪击杀-6点火元素-66%概率9点	2		1000110	6667
100012	根-水小怪击杀-6点水元素-66%概率9点	2		1000120	6667
100013	根-草小怪击杀-6点草元素-66%概率9点	2		1000130	6667
100014	根-电小怪击杀-6点电元素-66%概率9点	2		1000140	6667
100015	根-风小怪击杀-6点风元素-66%概率9点	2		1000150	6667
100016	根-冰小怪击杀-6点冰元素-66%概率9点	2		1000160	6667
100017	根-岩小怪击杀-6点岩元素-66%概率9点	2		1000170	6667
100020	根-无属性大怪击杀-6点全元素			1000200	10000
100021	根-火属性大怪击杀-12点火元素			1000210	10000
100022	根-水属性大怪击杀-12点水			1000220	10000
100023	根-草属性大怪击杀-12点草			1000230	10000
100024	根-电属性大怪击杀-12点电			1000240	10000
100025	根-风属性大怪击杀-12点风			1000250	10000
100026	根-冰属性大怪击杀-12点冰			1000260	10000
100027	根-岩属性大怪击杀-12点岩			1000270	10000
100030	根-无属性超大怪击杀-15点全元素-遗迹守卫专用-6+6+3			1000300	10000
101010	根-普通小怪阶段掉落-2点全			1010100	10000
101011	根-火小怪阶段掉落-4点火			1010110	10000
101012	根-水小怪阶段掉落-4点水			1010120	10000
101013	根-草小怪阶段掉落-4点草			1010130	10000
101014	根-电小怪阶段掉落-4点电			1010140	10000
101015	根-风小怪阶段掉落-4点风			1010150	10000
101016	根-冰小怪阶段掉落-4点冰			1010160	10000
101017	根-岩小怪阶段掉落-4点岩			1010170	10000
101020	根-普通大怪阶段掉落-4点全			1010200	10000
101021	根-火大怪阶段掉落-8点火			1010210	10000
101022	根-水大怪阶段掉落-8点水			1010220	10000
101023	根-草大怪阶段掉落-8点草			1010230	10000
101024	根-电大怪阶段掉落-8点电			1010240	10000
101025	根-风大怪阶段掉落-8点风			1010250	10000
101026	根-冰大怪阶段掉落-8点冰			1010260	10000
101027	根-岩大怪阶段掉落-8点岩			1010270	10000
101030	根-普通超大怪阶段掉落-15点全-遗迹守卫专用			1010300	10000
101031	根-火超大怪阶段掉落-12点火			1010310	10000
101032	根-水超大怪阶段掉落-12点水			1010320	10000
101033	根-草超大怪阶段掉落-12点草			1010330	10000
101034	根-电超大怪阶段掉落-12点电			1010340	10000
101035	根-风超大怪阶段掉落-12点风			1010350	10000
101036	根-冰超大怪阶段掉落-12点冰			1010360	10000
101037	根-岩超大怪阶段掉落-12点岩			1010370	10000
105020	根-无属性大怪50%			1050200	10000
105021	根-火属性大怪50%			1050210	10000
105022	根-水属性大怪50%			1050220	10000
105023	根-草属性大怪50%			1050230	10000
105024	根-电属性大怪50%			1050240	10000
105025	根-风属性大怪50%			1050250	10000
105026	根-冰属性大怪50%			1050260	10000
105027	根-岩属性大怪50%			1050270	10000
